,Final Equity,Net P&L,CAGR %,Win Rate %,Profit Factor,Max DD %,Sharpe,Sortino,Calmar,Exposure %,Trades
NIFTY 50,1055545.0,55545.0,1.2,47.1,1.7,-3.47,0.56,0.41,0.35,19.6,17.0
BANK NIFTY,990241.0,-9759.0,-0.22,36.8,0.92,-6.56,-0.08,-0.05,-0.03,21.0,19.0
RELIANCE,1003375.0,3375.0,0.07,33.3,1.05,-4.54,0.05,0.03,0.02,15.1,12.0
TCS,1023376.0,23376.0,0.51,36.4,1.43,-3.47,0.24,0.16,0.15,15.5,11.0
INFY,976028.0,-23972.0,-0.54,23.1,0.71,-6.32,-0.18,-0.14,-0.08,25.1,13.0
HDFCBANK,971878.0,-28122.0,-0.63,26.3,0.77,-6.83,-0.19,-0.12,-0.09,22.4,19.0
ICICIBANK,943044.0,-56956.0,-1.29,23.8,0.6,-8.29,-0.48,-0.38,-0.16,30.3,21.0
SBIN,1108683.0,108683.0,2.31,50.0,2.12,-3.33,0.87,0.75,0.69,25.6,20.0
NIFTYBEES,1007629.0,7629.0,0.17,45.5,1.12,-4.48,0.1,0.08,0.04,24.5,11.0
