,Final Equity,Net P&L,CAGR %,Win Rate %,Profit Factor,Max DD %,Sharpe,Sortino,Calmar,Exposure %,Trades
NIFTY 50,1026396.0,26396.0,0.58,42.4,1.14,-4.99,0.21,0.21,0.12,37.9,33.0
BANK NIFTY,1040150.0,40150.0,0.88,39.4,1.24,-4.67,0.31,0.28,0.19,34.4,33.0
RELIANCE,1018557.0,18557.0,0.41,35.7,1.12,-9.06,0.14,0.12,0.05,30.3,28.0
TCS,993251.0,-6749.0,-0.15,31.0,0.96,-7.06,-0.03,-0.03,-0.02,30.0,29.0
INFY,986382.0,-13618.0,-0.3,28.6,0.91,-8.58,-0.08,-0.08,-0.04,36.4,28.0
HDFCBANK,1041970.0,41970.0,0.91,39.3,1.3,-3.78,0.29,0.27,0.24,36.5,28.0
ICICIBANK,946486.0,-53514.0,-1.21,33.3,0.77,-9.45,-0.35,-0.36,-0.13,43.3,39.0
SBIN,1152405.0,152405.0,3.19,50.0,2.26,-3.64,1.06,1.09,0.88,34.9,28.0
NIFTYBEES,969504.0,-30496.0,-0.68,39.4,0.83,-4.95,-0.24,-0.18,-0.14,39.3,33.0
