,Final Equity,Net P&L,CAGR %,Win Rate %,Profit Factor,Max DD %,Sharpe,Sortino,Calmar,Exposure %,Trades
NIFTY 50,104605.0,4605.0,1.0,55.6,2.31,-2.69,0.72,0.4,0.37,11.3,9.0
BANK NIFTY,100780.0,780.0,0.17,50.0,1.78,-2.21,0.23,0.05,0.08,2.1,2.0
RELIANCE,102530.0,2530.0,0.55,38.5,1.36,-3.93,0.26,0.2,0.14,20.8,13.0
TCS,104105.0,4105.0,0.9,50.0,1.83,-3.0,0.47,0.34,0.3,11.0,10.0
INFY,101483.0,1483.0,0.33,40.0,1.24,-4.01,0.16,0.12,0.08,15.2,10.0
HDFCBANK,98097.0,-1903.0,-0.42,33.3,0.77,-6.13,-0.14,-0.07,-0.07,18.3,12.0
ICICIBANK,98369.0,-1631.0,-0.36,30.0,0.77,-4.9,-0.19,-0.09,-0.07,13.3,10.0
SBIN,98187.0,-1813.0,-0.4,27.3,0.76,-5.71,-0.18,-0.1,-0.07,14.7,11.0
NIFTYBEES,108451.0,8451.0,1.81,77.8,4.81,-2.04,1.07,0.75,0.89,14.2,9.0
