,Final Equity,Net P&L,CAGR %,Win Rate %,Profit Factor,Max DD %,Sharpe,Sortino,Calmar,Exposure %,Trades
NIFTY 50,1051316.0,51316.0,1.11,55.6,2.16,-3.21,0.66,0.4,0.35,11.3,9.0
BANK NIFTY,1015202.0,15202.0,0.33,42.9,1.2,-4.0,0.16,0.09,0.08,18.7,14.0
RELIANCE,1025054.0,25054.0,0.55,38.5,1.35,-3.96,0.25,0.19,0.14,20.8,13.0
TCS,1042936.0,42936.0,0.94,50.0,1.81,-3.3,0.47,0.34,0.28,11.0,10.0
INFY,1013664.0,13664.0,0.3,40.0,1.21,-4.15,0.15,0.11,0.07,15.2,10.0
HDFCBANK,980800.0,-19200.0,-0.43,33.3,0.77,-6.19,-0.14,-0.07,-0.07,18.3,12.0
ICICIBANK,983900.0,-16100.0,-0.36,30.0,0.78,-4.95,-0.18,-0.09,-0.07,13.3,10.0
SBIN,981247.0,-18753.0,-0.42,27.3,0.76,-5.8,-0.18,-0.11,-0.07,14.7,11.0
NIFTYBEES,1085019.0,85019.0,1.82,77.8,4.82,-2.05,1.07,0.75,0.89,14.2,9.0
